County,Sector,2015,2014,2013
ALAMEDA,Residential,2954.751488,2880.648336,2980.359907
ALPINE,Residential,11.906812,11.963108,13.418712
AMADOR,Residential,135.730917,134.172967,139.245432
BUTTE,Residential,730.693494,718.322342,729.966407
CALAVERAS,Residential,195.578184,191.97335,199.657934
COLUSA,Residential,65.739521,64.55895,64.720427
CONTRA COSTA,Residential,2797.49476,2727.638654,2766.718837
DEL NORTE,Residential,116.039207,110.032042,126.485128
EL DORADO,Residential,735.753277,720.282618,756.488582
FRESNO,Residential,2728.919096,2693.435681,2690.334572
GLENN,Residential,92.593195,91.346984,92.809578
HUMBOLDT,Residential,398.373422,394.023175,441.062652
IMPERIAL,Residential,591.192316,545.010104,536.872089
INYO,Residential,45.943262,60.948174,60.27549
KERN,Residential,2296.087006,2299.05258,2273.43003
KINGS,Residential,362.842156,376.647647,371.572778
LAKE,Residential,282.25706,284.225663,301.919087
LASSEN,Residential,94.861903,94.117826,104.315298
LOS ANGELES,Residential,20233.46208,20755.51768,20623.13991
MADERA,Residential,430.012166,424.030498,429.099741
MARIN,Residential,666.60867,650.471151,683.749025
MARIPOSA,Residential,68.968299,68.260044,71.631572
MENDOCINO,Residential,299.465173,294.139827,324.044157
MERCED,Residential,718.512694,715.961124,696.699633
MODOC,Residential,54.069319,53.422913,61.008204
MONO,Residential,81.513078,87.58777,98.793552
MONTEREY,Residential,696.014751,681.704745,721.12805
NAPA,Residential,370.749448,363.76622,374.977324
NEVADA,Residential,413.176726,406.707113,423.127063
ORANGE,Residential,6795.905246,7038.013252,6837.731854
PLACER,Residential,1382.368437,1369.591411,1366.937113
PLUMAS,Residential,92.417988,98.287001,101.412302
RIVERSIDE,Residential,6661.682362,6768.672183,6601.835228
SACRAMENTO,Residential,4673.671881,4718.741514,4695.265865
SAN BENITO,Residential,120.693666,115.277144,119.611062
SAN BERNARDINO,Residential,4517.129407,4765.314484,4687.230963
SAN DIEGO,Residential,6917.345593,6864.199972,6802.307158
SAN FRANCISCO,Residential,1466.51585,1433.039962,1499.291129
SAN JOAQUIN,Residential,1778.283023,1756.798896,1736.385078
SAN LUIS OBISPO,Residential,648.50039,630.115215,660.520299
SAN MATEO,Residential,1539.13968,1500.043963,1570.824894
SANTA BARBARA,Residential,778.54833,803.685591,831.171113
SANTA CLARA,Residential,3933.284826,3839.419255,3915.505935
SANTA CRUZ,Residential,560.617114,553.642132,592.165062
SHASTA,Residential,733.73862,722.505685,747.774345
SIERRA,Residential,14.434677,13.164294,13.820789
SISKIYOU,Residential,218.683795,213.838454,231.371835
SOLANO,Residential,1037.223786,1005.930331,1019.779076
SONOMA,Residential,1308.906105,1283.182702,1346.438513
STANISLAUS,Residential,1721.589453,1721.227445,1697.951059
SUTTER,Residential,280.001631,276.287067,275.069609
TEHAMA,Residential,234.5859,230.163904,237.012235
TRINITY,Residential,10.462343,10.356439,11.171592
TULARE,Residential,1155.847487,1223.625851,1207.878064
TUOLUMNE,Residential,211.096502,205.401298,219.61351
VENTURA,Residential,1780.706315,1908.736089,1902.79714
YOLO,Residential,517.546701,506.128669,510.14652
YUBA,Residential,214.334057,213.970193,212.281021
