County,Value
Alameda,1610921
Alpine,1116
Amador,36742
Butte,224241
Calaveras,44624
Colusa,21419
Contra Costa,1111339
Del Norte,27212
El Dorado,183087
Fresno,965974
Glenn,27955
Humboldt,134809
Imperial,179091
Inyo,18410
Kern,874589
Kings,150269
Lake,64184
Lassen,31749
Los Angeles,10116705
Madera,154548
Marin,260750
Mariposa,17682
Mendocino,87869
Merced,266353
Modoc,9023
Mono,13997
Monterey,431344
Napa,141667
Nevada,98893
Orange,3145515
Placer,371694
Plumas,18606
Riverside,2329271
Sacramento,1482026
San Benito,58267
San Bernardino,2112619
San Diego,3263431
San Francisco,852469
San Joaquin,715597
San Luis Obispo,279083
San Mateo,758581
Santa Barbara,440668
Santa Clara,1894605
Santa Cruz,271804
Shasta,179804
Sierra,3003
Siskiyou,43628
Solano,431131
Sonoma,500292
Stanislaus,531997
Sutter,95847
Tehama,63067
Trinity,13170
Tulare,458198
Tuolumne,53831
Ventura,846178
Yolo,207590
Yuba,73966
